Type,Display_name,Date,Contents,Categories,translated_content,cleaned_data,neg,neu,pos,compound,sentiment_label
Tweet,KiraLim,2024-10-04,He was blown away by the beauty of San JuanÆs hidden beachesùparadise!,Experience,He was blown away by the beauty of San JuanÆs hidden beachesùparadise!,blown away beauty san juanæs hidden beachesùparadise,0.0,0.612,0.388,0.5859,positive
Post,Ross Nisce,2019-07-02,"The rooms are newly renovated with new comfortable mattresses, linens, pillows, and towels. Manager Joan is very accommodating too!",Accomodation,"The rooms are newly renovated with new comfortable mattresses, linens, pillows, and towels. Manager Joan is very accommodating too!",room newly renovated new comfortable mattress linen pillow towel manager joan accommodating,0.0,0.769,0.231,0.5106,positive
Tweet,Mx. Dieth (He/They/Siya),2023-01-03,Sunset. Sand. Sea. Sky.,Experience,Sunset. Sand. Sea. Sky.,sunset sand sea sky,0.0,1.0,0.0,0.0,positive
Reply,Malik Hernandez,2022-03-22,"Really craving to go back to Elyu, I miss the nightlife and the people. Last time, I had the best butterball and beer combo!",Experience,"Really craving to go back to Elyu, I miss the nightlife and the people. Last time, I had the best butterball and beer combo!",really craving go back elyu miss nightlife people last time best butterball beer combo,0.09,0.674,0.236,0.5574,positive
Post,Martha Joy Salcedo,2023-10-12,The best experience!,Experience,The best experience!,best experience,0.0,0.192,0.808,0.6369,positive
Tweet,rei ?? ! ia,2024-06-17,It's effin 4am and I'm craving for crispy pork kare-kare ng naknak from elyu.,Food,It's effin 4am and I'm craving for crispy pork kare-kare ng naknak from elyu.,effin 4am im craving crispy pork karekare ng naknak elyu,0.268,0.732,0.0,-0.5106,negative
Post,Sheena Agustin - Cinense,2024-07-12,Had a great stay Creesante ,Accomodation,Had a great stay Creesante,great stay creesante,0.0,0.328,0.672,0.6249,positive
Post,Mica Manansala,2023-11-24,Gefseis Greek Grill is my favorite spot for Greek food by the beach.,Experience,Gefseis Greek Grill is my favorite spot for Greek food by the beach.,gefseis greek grill favorite spot greek food beach,0.0,0.7,0.3,0.4588,positive
Post,Marjorie Mae Villanueva,2021-04-20,"The rooms at Bayview Resort were comfortable and clean, and the location was perfect for beach lovers.",Experience,"The rooms at Bayview Resort were comfortable and clean, and the location was perfect for beach lovers.",room bayview resort comfortable clean location perfect beach lover,0.0,0.27,0.73,0.926,positive
Tweet,Isiah Domingo,2023-08-30,I was let down by the snobby behavior of some locals in Elyu.,Experience,I was let down by the snobby behavior of some locals in Elyu.,let snobby behavior local elyu,0.403,0.597,0.0,-0.4019,negative
Tweet,Enzo,2024-05-03,Worst place to be in on Labor Day for impatient people like me: ELYU,Activities,Worst place to be in on Labor Day for impatient people like me: ELYU,worst place labor day impatient people like elyu,0.457,0.362,0.181,-0.5859,negative
Post,Mommy Lenlen vlog,2023-09-20,"The staffs need to improve how they treat customers no matter what they look like, however, the place is nice and neat in all fairness. ",Accomodation,"The staffs need to improve how they treat customers no matter what they look like, however, the place is nice and neat in all fairness.",staff need improve treat customer matter look like however place nice neat fairness,0.0,0.318,0.682,0.9186,positive
Tweet,Kelly Jam,2022-01-15,Stayed at a cozy beachfront cabin in Elyu. Waking up to the sound of waves crashing made the experience so much better! ,Accomodation,Stayed at a cozy beachfront cabin in Elyu. Waking up to the sound of waves crashing made the experience so much better!,stayed cozy beachfront cabin elyu waking sound wave crashing made experience much better,0.0,0.805,0.195,0.4404,positive
Tweet,nikko,2024-07-08,Elyuà napakalayo mo,Experience,Elyuà you are too far,elyuà far,0.0,1.0,0.0,0.0,positive
Tweet,????????????,2024-07-20,"with this urge to really wanna go to a beach already, i'm so close to doing a solo spontaneous trip to elyu over a weekend very soon. I'm so tired on planning with friends tapos di rin naman natutuloy haha",Experience,"with this urge to really wanna go to a beach already, i'm so close to doing a solo spontaneous trip to elyu over a weekend very soon. I'm so tired of planning with friends and then it doesn't work either haha",urge really wanna go beach already im close solo spontaneous trip elyu weekend soon im tired planning friend doesnt work either haha,0.195,0.689,0.116,-0.2914,negative
Tweet,jommmiii,2024-02-15,"It's always nice walking over sunsets with my mom. Tweeting this post Valentine's Day date in San Juan, La Union.",Activity,"It's always nice walking over sunsets with my mom. Tweeting this post Valentine's Day date in San Juan, La Union.",always nice walking sunset mom tweeting post valentine day date san juan la union,0.0,0.823,0.177,0.4215,positive
